Chris Murphy	Democrat	2	3	0	4	1	0
Mamie Locke	Democrat	1	0	0	0	0	0
Texas Veterans Commission	None	0	0	0	1	0	0
Brian Kilmeade	None	0	0	0	0	3	1
Kathie Tovo	Democrat	0	2	0	1	0	0
Alicia Menendez	None	1	0	0	0	0	0
Rob Wittman	Republican	0	1	2	0	3	0
Mehmet Oz	Republican	0	0	0	2	2	0
Mike Males	None	0	1	0	0	0	0
Jeff Scrima	None	0	0	0	0	0	0
Teresa Tanzi	Democrat	0	0	0	0	1	0
The Commonwealth Institute	Organization	0	1	0	0	0	0
Teresa Fedor	Democrat	1	0	0	1	0	0
Wisconsin Contractor Coalition	Organization	0	0	0	0	1	0
Heather Moore	None	0	0	0	1	0	0
John Conyers	 Jr.Democrat	0	1	0	0	0	0
George LeMieux	Republican	2	4	6	4	1	0
Kevin Rader	Democrat	1	1	0	0	0	0
Ed Emery	Republican	0	0	1	0	0	0
Brianna Keilar	None	0	1	0	0	0	0
Jason Rae	Democrat	1	0	0	0	0	0
A C Wharton	Democrat	0	1	0	0	0	0
Protect Your Vote	None	0	0	1	0	0	0
Heidi Heitkamp	Democrat	0	1	2	1	1	0
Buck Sexton	Republican	0	0	0	0	1	0
Jefferson Smith	Democrat	2	4	0	1	1	0
Hillsborough Area Regional Transit	None	0	1	0	0	0	0
Florida Stop Common Core Coalition	None	0	0	1	0	0	1
Karen Brinson Bell	None	0	0	0	1	0	0
Joy Reid	None	0	1	0	2	1	0
Republican state Assembly candidates in Wisconsin	Republican	0	0	0	0	0	0
Darren Jackson	Democrat	1	1	0	0	0	0
Brad Parscale	Republican	0	0	1	1	0	0
Jay Wiley	Republican	0	1	0	0	0	0
Mimi Walters	Republican	0	0	0	0	1	0
Eric Eisnaugle	Republican	0	0	0	0	1	0
Floridians for Solar Choice	None	0	1	0	0	0	0
TeddyStick.com	None	0	0	0	0	0	1
Peter Pantuso	None	0	0	1	0	0	0
Vicky Hartzler	Republican	1	2	3	5	1	0
Erika Sanzi	Activist	0	1	0	0	0	0
Peter Courtney	Democrat	0	1	0	0	0	0
FreedomWorks	Organization	0	0	0	2	0	0
Viralusa	None	0	0	0	0	0	0
Jesse Williams	None	0	0	0	0	0	0
Randy Leonard	None	0	0	0	1	0	0
Scott Neitzel	Newsmaker	0	1	0	0	0	0
Roxanne Ross	None	0	0	0	0	0	1
Jack Latvala	Republican	1	0	1	0	0	0
Keisha Lance Bottoms	Democrat	0	2	0	0	0	0
Monica Wallace	Democrat	1	0	0	0	0	0
Kinky Friedman	Democrat	0	0	1	1	1	0
David Watts	Republican	1	0	0	0	0	0
Curtis Foltz	None	0	0	1	0	0	0
Progressive Choice Florida	Organization	1	0	0	1	0	0
Joseph Levy	Organization	0	0	0	1	0	0
Elliott Naishtat	Democrat	2	0	1	0	0	0
Jill Stein	Green Party	1	0	0	0	1	1
Hillary Davis	Organization	0	0	0	0	1	0
Patti Doyle	Organization	0	1	0	0	0	0
Jason Miyares	Republican	0	1	0	0	1	0
Joe Wilson	Republican	0	0	0	0	1	0
Tom Graves	Republican	5	0	5	1	0	1
Planned Parenthood Votes	None	0	0	2	0	0	0
The Miami Post	None	0	0	0	0	0	1
Gwen Moore	Democrat	7	8	8	5	5	1
Broward Democratic Executive Committee	Democrat	0	0	0	1	0	0
Maggie Hassan	Democrat	2	4	2	2	2	0
John Kasich	Republican	16	18	10	9	8	3
Ted Cruz	Republican	8	22	21	46	47	11
Ban the Box RI	Organization	1	0	0	0	0	0
Maryellen O'Shaughnessy	Democrat	1	0	0	0	1	0
Sandy Pasch	Democrat	0	2	0	0	0	1
Bob Wirch	Democrat	1	0	0	0	0	1
Delaware Health and Social Services	None	0	0	1	0	0	0
Nia-Malika Henderson	None	0	0	0	1	0	0
Charles Rangel	Democrat	0	0	1	0	0	1
Christine O'Donnell	Republican	0	1	0	1	0	2
Chris Van Hollen	Democrat	0	4	0	0	0	0
Winsome Earle-Sears	Republican	0	0	0	1	2	0
Leonard Pitts, Jr.	Democrat	0	0	1	0	0	0
Nancy Grace	None	0	0	0	2	0	0
Illinois Rising Action	Republican	0	0	0	0	1	0
Local 799 of the International Assoc. of Fire Fighters	None	0	0	0	0	0	1
The Sentinel	None	0	0	1	0	0	0
Ohio House Republican Organizational Committee	Republican	0	0	0	0	1	0
Andrew Giuliani	Republican	0	0	0	0	1	0
John Cortes	Democrat	1	0	0	0	0	0
Jerrold Nadler	Democrat	0	1	1	0	1	0
Wendell Young	Labor leader	1	0	0	0	0	0
Majority Forward	Democrat	0	0	0	1	1	0
Jerry Tillman	Republican	0	0	1	0	0	0
Kathleen Angelucci	Republican	0	0	0	1	0	0
Planned Parenthood	None	4	0	1	1	0	1
Michael Lee	Republican	0	1	0	0	0	0
Peter Feigin	None	0	0	0	1	1	0
Jim Lamon	Republican	0	0	1	0	0	0
Jim Marshall	Democrat	0	0	1	0	0	0
Doug Thomas	None	0	0	1	0	0	0
Eco News	None	0	0	0	0	0	1
Crystal Peoples-Stokes	Democrat	0	0	1	1	0	0
Luther Strange	Republican	0	0	1	0	1	0
Patience Roggensack	None	1	1	0	0	0	0
Jeremiah Samples	None	0	1	0	0	0	0
Glenn Youngkin	Republican	0	4	3	1	2	1
Jeffrey Loria	None	0	0	1	0	0	0
John McCallum	Republican	0	1	0	0	0	0
National Rifle Association	None	1	6	1	4	6	4
Richard Saslaw	Democrat	0	0	0	2	3	1
Donald Carcieri	Republican	0	1	1	0	0	0
Snapchat	None	0	0	0	0	1	0
Pat Robertson	Republican	0	0	1	1	0	1
Don Huffines	Republican	0	1	1	1	0	0
Kathleen Ford	Democrat	0	1	0	0	1	1
Ted Jackson	Democrat	0	1	0	0	0	0
Duriya Farooqui	None	0	1	0	0	0	0
Mar�a Teresa Kumar	None	1	0	0	0	0	0
Josh Mandel	Republican	5	5	3	5	6	7
Alex McMurtrie Jr.	Democrat	0	0	0	0	1	0
Citizen Action of Wisconsin	Organization	0	0	0	0	1	0
Phil Bredesen	Democrat	0	1	0	0	0	0
